GEO_CODE,GEO_NAME,0 to 14 years,15 to 29 minutes,15 to 64 years,3 Health occupations,30 to 44 minutes,45 to 59 minutes,60 minutes and over,65 years and over,All occupations,Apprenticeship or trades certificate or diploma,Average government transfers in 2015 among recipients ($),Average total income in 2015 among recipients ($),Bachelor's degree,Certificate of Apprenticeship or Certificate of Qualification,"College, CEGEP or other non-university certificate or diploma","Degree in medicine, dentistry, veterinary medicine or optometry",Earned doctorate,Employment rate,Health and related fields,Land area in square kilometres,Less than 15 minutes,Master's degree,Median after-tax income in 2015 among recipients ($),Median government transfers in 2015 among recipients ($),Median total income in 2015 among recipients ($),"No certificate, diploma or degree",Number of government transfers recipients aged 15 years and over in private households - 100% data,Participation rate,Population density per square kilometre,"Population, 2011","Population, 2016","Postsecondary certificate, diploma or degree","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",Secondary (high) school diploma or equivalency certificate,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,Unemployment rate,University certificate or diploma above bachelor level,University certificate or diploma below bachelor level,"University certificate, diploma or degree at bachelor level or above",GEO_ID_CODE,GEO_UID,PROV_TERR_ID_CODE,PROV_TERR_NAME_NOM,GEO_NAME_NOM,GEO_TYPE,GEO_GNR_SF,GEO_GNR_LF,GEO_DQ
1219,Sicamous,10.1,120.0,60.2,0.0,95.0,30.0,80.0,10.0,860.0,145.0,9220.0,41021.0,35.0,70.0,255.0,0.0,0.0,47.4,40.0,2.53,375.0,10.0,25459.0,10280.0,27538.0,205.0,1205.0,54.2,704.6,1843.0,1786.0,480.0,19.1,285.0,700.0,1605.0,960.0,1605.0,80.0,13.2,0.0,30.0,45.0,1219,2016S05101219,59,British Columbia,Sicamous,,7.0,9.2,00001
1221,Houston,22.1,165.0,66.1,35.0,25.0,30.0,90.0,5.0,1080.0,200.0,9728.0,48895.0,85.0,140.0,240.0,0.0,0.0,56.6,55.0,2.94,630.0,20.0,30816.0,6856.0,34074.0,240.0,1010.0,64.1,722.0,2120.0,2126.0,570.0,16.5,420.0,935.0,1715.0,1225.0,1715.0,60.0,11.8,0.0,15.0,115.0,1221,2016S05101221,59,British Columbia,Houston,,9.5,16.0,00111
1222,Dallas,19.3,1370.0,65.3,220.0,230.0,30.0,115.0,5.0,2500.0,430.0,8271.0,50669.0,260.0,300.0,625.0,10.0,10.0,64.6,305.0,6.47,495.0,85.0,36608.0,6664.0,41326.0,220.0,2220.0,68.9,692.3,4445.0,4479.0,1555.0,7.4,680.0,2235.0,3670.0,2460.0,3665.0,130.0,6.1,40.0,100.0,400.0,1222,2016S05101222,59,British Columbia,Dallas,,2.4,4.9,00000
1225,Lac du Bonnet,14.2,55.0,53.7,25.0,20.0,30.0,45.0,5.0,415.0,60.0,10275.0,41933.0,95.0,30.0,60.0,0.0,10.0,41.5,40.0,2.15,200.0,0.0,27552.0,10784.0,31008.0,35.0,695.0,48.3,506.6,1069.0,1089.0,245.0,21.1,155.0,350.0,880.0,430.0,880.0,30.0,14.1,10.0,10.0,115.0,1225,2016S05101225,46,Manitoba,Lac du Bonnet,,9.0,14.1,00111
1230,Langham,22.1,190.0,65.0,70.0,220.0,50.0,20.0,0.0,705.0,110.0,7452.0,48257.0,110.0,65.0,195.0,0.0,0.0,69.9,75.0,0.88,110.0,10.0,37555.0,5253.0,42342.0,65.0,550.0,75.8,1499.9,1035.0,1319.0,425.0,8.9,180.0,600.0,925.0,660.0,925.0,45.0,7.8,0.0,0.0,115.0,1230,2016S05101230,47,Saskatchewan,Langham,,6.6,2.7,00000
1231,Macklin,21.3,110.0,65.7,55.0,75.0,15.0,35.0,0.0,640.0,90.0,6976.0,55478.0,60.0,50.0,115.0,0.0,10.0,64.1,35.0,0.81,330.0,0.0,37696.0,4184.0,42240.0,90.0,470.0,69.6,1473.7,1240.0,1193.0,290.0,7.8,210.0,555.0,915.0,590.0,915.0,35.0,7.8,0.0,15.0,75.0,1231,2016S05101231,47,Saskatchewan,Macklin,,3.5,8.0,00000
1235,Saint-Éphrem-de-Tring,17.7,160.0,64.3,45.0,85.0,15.0,25.0,10.0,825.0,290.0,7675.0,37078.0,50.0,50.0,105.0,0.0,0.0,72.6,25.0,1.98,480.0,0.0,28907.0,6280.0,32839.0,135.0,830.0,74.4,699.0,1434.0,1385.0,470.0,11.4,120.0,770.0,1115.0,730.0,1115.0,240.0,2.4,0.0,30.0,55.0,1235,2016S05101235,24,Quebec,Saint-Éphrem-de-Tring,,2.6,3.7,00000
1238,Le Bic,18.9,225.0,58.1,20.0,55.0,10.0,15.0,0.0,500.0,170.0,9828.0,35479.0,105.0,45.0,100.0,0.0,15.0,53.4,25.0,1.19,105.0,45.0,29120.0,9001.0,32192.0,45.0,685.0,59.2,934.9,1056.0,1115.0,460.0,13.0,100.0,420.0,865.0,600.0,870.0,130.0,8.7,0.0,20.0,165.0,1238,2016S05101238,24,Quebec,Le Bic,,2.7,3.3,00000
1239,Belmont,17.1,390.0,70.6,35.0,120.0,25.0,30.0,0.0,770.0,50.0,6008.0,50824.0,110.0,40.0,280.0,0.0,0.0,68.4,55.0,0.99,115.0,15.0,37632.0,4440.0,42667.0,75.0,590.0,74.1,1148.6,1026.0,1140.0,480.0,4.8,195.0,680.0,1060.0,750.0,1060.0,10.0,7.6,0.0,15.0,135.0,1239,2016S05101239,35,Ontario,Belmont,,3.0,6.3,00000
1240,Tumbler Ridge,20.5,75.0,66.2,40.0,125.0,20.0,130.0,5.0,940.0,190.0,9316.0,49317.0,60.0,135.0,200.0,15.0,10.0,49.4,85.0,2.82,390.0,10.0,32128.0,8437.0,35072.0,235.0,1045.0,64.2,704.0,2700.0,1982.0,540.0,15.2,325.0,735.0,1545.0,1105.0,1545.0,55.0,23.1,10.0,50.0,105.0,1240,2016S05101240,59,British Columbia,Tumbler Ridge,,4.3,9.7,00001
