GEO_CODE,GEO_NAME,0 to 14 years,15 to 29 minutes,15 to 64 years,3 Health occupations,30 to 44 minutes,45 to 59 minutes,60 minutes and over,65 years and over,All occupations,Apprenticeship or trades certificate or diploma,Average government transfers in 2015 among recipients ($),Average total income in 2015 among recipients ($),Bachelor's degree,Certificate of Apprenticeship or Certificate of Qualification,"College, CEGEP or other non-university certificate or diploma","Degree in medicine, dentistry, veterinary medicine or optometry",Earned doctorate,Employment rate,Health and related fields,Land area in square kilometres,Less than 15 minutes,Master's degree,Median after-tax income in 2015 among recipients ($),Median government transfers in 2015 among recipients ($),Median total income in 2015 among recipients ($),"No certificate, diploma or degree",Number of government transfers recipients aged 15 years and over in private households - 100% data,Participation rate,Population density per square kilometre,"Population, 2011","Population, 2016","Postsecondary certificate, diploma or degree","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",Secondary (high) school diploma or equivalency certificate,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,Unemployment rate,University certificate or diploma above bachelor level,University certificate or diploma below bachelor level,"University certificate, diploma or degree at bachelor level or above",GEO_ID_CODE,GEO_UID,PROV_TERR_ID_CODE,PROV_TERR_NAME_NOM,GEO_NAME_NOM,GEO_TYPE,GEO_GNR_SF,GEO_GNR_LF,GEO_DQ,lng,lat,pharmacies
771,Souris,17.9,70.0,58.1,115.0,235.0,55.0,35.0,10.0,990.0,105.0,8790.0,40722.0,80.0,50.0,250.0,15.0,0.0,59.6,155.0,2.27,465.0,0.0,31648.0,8120.0,36169.0,145.0,1020.0,64.5,826.5,1716.0,1876.0,495.0,15.7,255.0,855.0,1535.0,890.0,1535.0,55.0,7.6,20.0,20.0,120.0,771,2016S05100771,46,Manitoba,Souris,,3.2,5.6,0,-100.258239394415,49.6188755116515,4
776,Sparwood,18.6,325.0,67.8,95.0,295.0,135.0,140.0,5.0,1955.0,385.0,8644.0,58534.0,240.0,305.0,445.0,0.0,0.0,63.8,160.0,8.13,935.0,45.0,38592.0,6544.0,43328.0,175.0,1550.0,68.1,429.3,3511.0,3490.0,1150.0,8.3,680.0,1820.0,2885.0,2010.0,2885.0,85.0,6.6,0.0,40.0,280.0,776,2016S05100776,59,British Columbia,Sparwood,,6.4,10.0,11,-114.880596561523,49.7510570945105,4
778,Springdale,14.9,50.0,61.3,100.0,30.0,0.0,55.0,10.0,890.0,135.0,11312.0,41164.0,80.0,45.0,335.0,10.0,0.0,41.6,105.0,3.4,565.0,40.0,24912.0,11328.0,26688.0,185.0,1350.0,52.9,611.5,2043.0,2080.0,630.0,20.7,280.0,690.0,1720.0,1095.0,1720.0,85.0,21.4,10.0,20.0,135.0,778,2016S05100778,10,Newfoundland and Labrador,Springdale,,3.8,10.3,10,-56.0835408358883,49.5008078384117,6
781,Squamish,19.7,1300.0,69.2,800.0,645.0,1355.0,1320.0,30.0,10390.0,1100.0,6489.0,47597.0,2235.0,630.0,2230.0,105.0,95.0,71.2,1265.0,16.14,4050.0,625.0,34604.0,3485.0,39224.0,815.0,8640.0,75.5,1089.6,15554.0,17587.0,7110.0,9.8,2465.0,8655.0,13850.0,10390.0,13850.0,480.0,5.6,250.0,470.0,3310.0,781,2016S05100781,59,British Columbia,Squamish,,6.0,7.4,101,-123.138804114149,49.7325214583811,6
784,Saint Andrews,12.4,115.0,58.9,60.0,70.0,10.0,25.0,15.0,710.0,50.0,9870.0,46591.0,195.0,25.0,190.0,0.0,10.0,51.6,65.0,2.48,345.0,75.0,30234.0,9581.0,33440.0,30.0,900.0,57.1,605.7,1560.0,1501.0,530.0,16.6,115.0,565.0,1255.0,675.0,1255.0,30.0,9.7,10.0,10.0,280.0,784,2016S05100784,13,New Brunswick,Saint Andrews,,4.6,5.2,0,-67.0515108185907,45.0787305883164,3
786,St. Anthony,13.7,40.0,62.2,135.0,20.0,0.0,20.0,0.0,960.0,125.0,10104.0,46480.0,120.0,60.0,335.0,10.0,0.0,48.3,155.0,4.57,670.0,45.0,31360.0,9544.0,35136.0,140.0,1195.0,59.9,448.1,2147.0,2049.0,675.0,10.8,240.0,750.0,1635.0,1055.0,1635.0,60.0,19.9,0.0,30.0,185.0,786,2016S05100786,10,Newfoundland and Labrador,St. Anthony,,5.5,9.0,0,-55.5847150177346,51.3701206073137,2
792,St. John's,15.4,40085.0,69.5,7855.0,7500.0,1130.0,3375.0,495.0,96065.0,8695.0,7818.0,52313.0,19640.0,4525.0,29615.0,935.0,1340.0,60.0,10485.0,166.0,32860.0,7670.0,33767.0,5879.0,38158.0,8420.0,99100.0,65.7,1074.9,172312.0,178427.0,72005.0,12.6,21275.0,84945.0,148715.0,101700.0,148715.0,4175.0,8.6,1365.0,2745.0,30945.0,792,2016S05100792,10,Newfoundland and Labrador,St. John's,,3.5,5.2,0,-52.8146357857216,47.5509896873376,63
797,Saint-Quentin,13.7,125.0,63.9,75.0,0.0,25.0,45.0,10.0,1050.0,145.0,9533.0,35257.0,135.0,55.0,185.0,0.0,0.0,53.7,110.0,4.24,680.0,0.0,26981.0,8875.0,29536.0,300.0,1395.0,59.3,517.2,2095.0,2194.0,515.0,18.3,260.0,880.0,1780.0,1075.0,1780.0,90.0,9.5,15.0,30.0,160.0,797,2016S05100797,13,New Brunswick,Saint-Quentin,,4.8,7.1,0,-67.3892381502782,47.5097551315907,3
798,St. Stephen,15.6,115.0,62.1,60.0,80.0,40.0,100.0,25.0,1440.0,155.0,8980.0,34952.0,190.0,55.0,480.0,0.0,10.0,47.5,85.0,3.57,805.0,30.0,25229.0,8389.0,27218.0,195.0,1955.0,56.8,904.7,3520.0,3233.0,920.0,25.7,530.0,1140.0,2665.0,1650.0,2665.0,105.0,16.8,25.0,30.0,255.0,798,2016S05100798,13,New Brunswick,St. Stephen,,2.8,5.7,0,-67.2853246979046,45.1900367657623,6
872,Ste. Anne,22.7,250.0,59.3,70.0,175.0,120.0,135.0,5.0,985.0,115.0,7683.0,43490.0,100.0,80.0,270.0,0.0,0.0,63.0,100.0,4.23,220.0,25.0,31534.0,6571.0,35413.0,115.0,1110.0,66.7,499.4,1626.0,2114.0,570.0,12.2,335.0,895.0,1485.0,1025.0,1490.0,35.0,6.1,10.0,50.0,135.0,872,2016S05100872,46,Manitoba,Ste. Anne,,5.3,5.8,0,-96.6482707882074,49.6682963715014,3
887,Steinbach,21.7,1320.0,61.6,500.0,335.0,315.0,470.0,40.0,7485.0,525.0,7497.0,38601.0,1005.0,260.0,1375.0,70.0,10.0,64.1,675.0,14.28,4405.0,150.0,27727.0,5268.0,30498.0,1260.0,8195.0,67.7,1033.4,12798.0,14753.0,3430.0,17.5,2235.0,6845.0,11270.0,6920.0,11265.0,265.0,5.2,110.0,180.0,1340.0,887,2016S05100887,46,Manitoba,Steinbach,,3.0,4.5,0,-96.6782036802765,49.5234457740317,7
